order_id,order_date,ship_date,region,state,city,category,sub_category,product_name,sales,profit,quantity,discount,customer_id,segment
CA-2016-152156,2016-11-08 00:00:00,2016-11-11 00:00:00,South,Kentucky,Henderson,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,41.9136,2,0.0,CG-12520,Consumer
CA-2016-152156,2016-11-08 00:00:00,2016-11-11 00:00:00,South,Kentucky,Henderson,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,219.582,3,0.0,CG-12520,Consumer
CA-2016-138688,2016-06-12 00:00:00,2016-06-16 00:00:00,West,California,Los Angeles,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,6.8714,2,0.0,DV-13045,Corporate
US-2015-108966,2015-10-11 00:00:00,2015-10-18 00:00:00,South,Florida,Fort Lauderdale,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,-383.031,5,0.45,SO-20335,Consumer
US-2015-108966,2015-10-11 00:00:00,2015-10-18 00:00:00,South,Florida,Fort Lauderdale,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2.5164,2,0.2,SO-20335,Consumer
CA-2014-115812,2014-06-09 00:00:00,2014-06-14 00:00:00,West,California,Los Angeles,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,14.1694,7,0.0,BH-11710,Consumer
CA-2014-115812,2014-06-09 00:00:00,2014-06-14 00:00:00,West,California,Los Angeles,Office Supplies,Art,Newell 322,7.28,1.9656,4,0.0,BH-11710,Consumer
CA-2014-115812,2014-06-09 00:00:00,2014-06-14 00:00:00,West,California,Los Angeles,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,90.7152,6,0.2,BH-11710,Consumer
CA-2014-115812,2014-06-09 00:00:00,2014-06-14 00:00:00,West,California,Los Angeles,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,5.7825,3,0.2,BH-11710,Consumer
CA-2014-115812,2014-06-09 00:00:00,2014-06-14 00:00:00,West,California,Los Angeles,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,34.47,5,0.0,BH-11710,Consumer
CA-2014-115812,2014-06-09 00:00:00,2014-06-14 00:00:00,West,California,Los Angeles,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,85.3092,9,0.2,BH-11710,Consumer
CA-2014-115812,2014-06-09 00:00:00,2014-06-14 00:00:00,West,California,Los Angeles,Technology,Phones,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,911.424,68.3568,4,0.2,BH-11710,Consumer
CA-2017-114412,2017-04-15 00:00:00,2017-04-20 00:00:00,South,North Carolina,Concord,Office Supplies,Paper,Xerox 1967,15.552,5.4432,3,0.2,AA-10480,Consumer
CA-2016-161389,2016-12-05 00:00:00,2016-12-10 00:00:00,West,Washington,Seattle,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,132.5922,3,0.2,IM-15070,Consumer
US-2015-118983,2015-11-22 00:00:00,2015-11-26 00:00:00,Central,Texas,Fort Worth,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,-123.858,5,0.8,HP-14815,Home Office
US-2015-118983,2015-11-22 00:00:00,2015-11-26 00:00:00,Central,Texas,Fort Worth,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,-3.816,3,0.8,HP-14815,Home Office
CA-2014-105893,2014-11-11 00:00:00,2014-11-18 00:00:00,Central,Wisconsin,Madison,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,13.3176,6,0.0,PK-19075,Consumer
